,pclass,survived,age,Siblings and Spouses Aboard,Parents and Children Aboard,fare,embarked,cabin_letter,is_male,Total Family Aboard
47,1.0,1.0,42.0,0.0,0.0,26.2875,Southampton,E,1,0.0
48,1.0,1.0,53.0,0.0,0.0,27.4458,Cherbourg,,0,0.0
49,1.0,1.0,36.0,0.0,1.0,512.3292,Cherbourg,B,1,1.0
50,1.0,1.0,58.0,0.0,1.0,512.3292,Cherbourg,B,0,1.0
51,1.0,0.0,33.0,0.0,0.0,5.0,Southampton,B,1,0.0
52,1.0,0.0,28.0,0.0,0.0,47.1,Southampton,,1,0.0
53,1.0,0.0,17.0,0.0,0.0,47.1,Southampton,,1,0.0
54,1.0,1.0,11.0,1.0,2.0,120.0,Southampton,B,1,3.0
55,1.0,1.0,14.0,1.0,2.0,120.0,Southampton,B,0,3.0
56,1.0,1.0,36.0,1.0,2.0,120.0,Southampton,B,1,3.0
57,1.0,1.0,36.0,1.0,2.0,120.0,Southampton,B,0,3.0
58,1.0,0.0,49.0,0.0,0.0,26.0,Southampton,,1,0.0
59,1.0,1.0,,0.0,0.0,27.7208,Cherbourg,,0,0.0
60,1.0,0.0,36.0,1.0,0.0,78.85,Southampton,C,1,1.0
61,1.0,1.0,76.0,1.0,0.0,78.85,Southampton,C,0,1.0
62,1.0,0.0,46.0,1.0,0.0,61.175,Southampton,E,1,1.0
63,1.0,1.0,47.0,1.0,0.0,61.175,Southampton,E,0,1.0
64,1.0,1.0,27.0,1.0,0.0,53.1,Southampton,E,1,1.0
65,1.0,1.0,33.0,1.0,0.0,53.1,Southampton,E,0,1.0
66,1.0,1.0,36.0,0.0,0.0,262.375,Cherbourg,B,0,0.0
67,1.0,1.0,30.0,0.0,0.0,86.5,Southampton,B,0,0.0
68,1.0,1.0,45.0,0.0,0.0,29.7,Cherbourg,A,1,0.0
69,1.0,1.0,,0.0,1.0,55.0,Southampton,E,0,1.0
70,1.0,0.0,,0.0,0.0,0.0,Southampton,,1,0.0
71,1.0,0.0,27.0,1.0,0.0,136.7792,Cherbourg,C,1,1.0
72,1.0,1.0,26.0,1.0,0.0,136.7792,Cherbourg,C,0,1.0
73,1.0,1.0,22.0,0.0,0.0,151.55,Southampton,,0,0.0
74,1.0,0.0,,0.0,0.0,52.0,Southampton,A,1,0.0
75,1.0,0.0,47.0,0.0,0.0,25.5875,Southampton,E,1,0.0
76,1.0,1.0,39.0,1.0,1.0,83.1583,Cherbourg,E,0,2.0
77,1.0,0.0,37.0,1.0,1.0,83.1583,Cherbourg,E,1,2.0
78,1.0,1.0,64.0,0.0,2.0,83.1583,Cherbourg,E,0,2.0
79,1.0,1.0,55.0,2.0,0.0,25.7,Southampton,C,0,2.0
80,1.0,0.0,,0.0,0.0,26.55,Southampton,,1,0.0
81,1.0,0.0,70.0,1.0,1.0,71.0,Southampton,B,1,2.0
82,1.0,1.0,36.0,0.0,2.0,71.0,Southampton,B,0,2.0
83,1.0,1.0,64.0,1.0,1.0,26.55,Southampton,B,0,2.0
84,1.0,0.0,39.0,1.0,0.0,71.2833,Cherbourg,C,1,1.0
85,1.0,1.0,38.0,1.0,0.0,71.2833,Cherbourg,C,0,1.0
86,1.0,1.0,51.0,0.0,0.0,26.55,Southampton,E,1,0.0
87,1.0,1.0,27.0,0.0,0.0,30.5,Southampton,,1,0.0
88,1.0,1.0,33.0,0.0,0.0,151.55,Southampton,,0,0.0
89,1.0,0.0,31.0,1.0,0.0,52.0,Southampton,B,1,1.0
90,1.0,1.0,27.0,1.0,2.0,52.0,Southampton,B,0,3.0
91,1.0,1.0,31.0,1.0,0.0,57.0,Southampton,B,1,1.0
92,1.0,1.0,17.0,1.0,0.0,57.0,Southampton,B,0,1.0
93,1.0,1.0,53.0,1.0,1.0,81.8583,Southampton,A,1,2.0
94,1.0,1.0,4.0,0.0,2.0,81.8583,Southampton,A,1,2.0
95,1.0,1.0,54.0,1.0,1.0,81.8583,Southampton,A,0,2.0
96,1.0,0.0,50.0,1.0,0.0,106.425,Cherbourg,C,1,1.0
97,1.0,1.0,27.0,1.0,1.0,247.5208,Cherbourg,B,0,2.0
98,1.0,1.0,48.0,1.0,0.0,106.425,Cherbourg,C,0,1.0
99,1.0,1.0,48.0,1.0,0.0,39.6,Cherbourg,A,0,1.0
100,1.0,1.0,49.0,1.0,0.0,56.9292,Cherbourg,A,1,1.0
101,1.0,0.0,39.0,0.0,0.0,29.7,Cherbourg,A,1,0.0
102,1.0,1.0,23.0,0.0,1.0,83.1583,Cherbourg,C,0,1.0
103,1.0,1.0,38.0,0.0,0.0,227.525,Cherbourg,C,0,0.0
104,1.0,1.0,54.0,1.0,0.0,78.2667,Cherbourg,D,0,1.0
105,1.0,0.0,36.0,0.0,0.0,31.6792,Cherbourg,A,0,0.0
106,1.0,0.0,,0.0,0.0,221.7792,Southampton,C,1,0.0
107,1.0,1.0,,0.0,0.0,31.6833,Southampton,,0,0.0
108,1.0,1.0,,0.0,0.0,110.8833,Cherbourg,,0,0.0
109,1.0,1.0,36.0,0.0,0.0,26.3875,Southampton,E,1,0.0
110,1.0,0.0,30.0,0.0,0.0,27.75,Cherbourg,C,1,0.0
111,1.0,1.0,24.0,3.0,2.0,263.0,Southampton,C,0,5.0
112,1.0,1.0,28.0,3.0,2.0,263.0,Southampton,C,0,5.0
113,1.0,1.0,23.0,3.0,2.0,263.0,Southampton,C,0,5.0
114,1.0,0.0,19.0,3.0,2.0,263.0,Southampton,C,1,5.0
115,1.0,0.0,64.0,1.0,4.0,263.0,Southampton,C,1,5.0
116,1.0,1.0,60.0,1.0,4.0,263.0,Southampton,C,0,5.0
117,1.0,1.0,30.0,0.0,0.0,56.9292,Cherbourg,E,0,0.0
118,1.0,0.0,,0.0,0.0,26.55,Southampton,D,1,0.0
119,1.0,1.0,50.0,2.0,0.0,133.65,Southampton,,1,2.0
120,1.0,1.0,43.0,1.0,0.0,27.7208,Cherbourg,D,1,1.0
121,1.0,1.0,,1.0,0.0,133.65,Southampton,,0,1.0
122,1.0,1.0,22.0,0.0,2.0,49.5,Cherbourg,B,0,2.0
123,1.0,1.0,60.0,1.0,1.0,79.2,Cherbourg,B,1,2.0
124,1.0,1.0,48.0,1.0,1.0,79.2,Cherbourg,B,0,2.0
125,1.0,0.0,,0.0,0.0,0.0,Southampton,B,1,0.0
126,1.0,0.0,37.0,1.0,0.0,53.1,Southampton,C,1,1.0
127,1.0,1.0,35.0,1.0,0.0,53.1,Southampton,C,0,1.0
128,1.0,0.0,47.0,0.0,0.0,38.5,Southampton,E,1,0.0
129,1.0,1.0,35.0,0.0,0.0,211.5,Cherbourg,C,0,0.0
130,1.0,1.0,22.0,0.0,1.0,59.4,Cherbourg,,0,1.0
131,1.0,1.0,45.0,0.0,1.0,59.4,Cherbourg,,0,1.0
132,1.0,0.0,24.0,0.0,0.0,79.2,Cherbourg,B,1,0.0
133,1.0,1.0,49.0,1.0,0.0,89.1042,Cherbourg,C,1,1.0
134,1.0,1.0,,1.0,0.0,89.1042,Cherbourg,C,0,1.0
135,1.0,0.0,71.0,0.0,0.0,34.6542,Cherbourg,A,1,0.0
136,1.0,1.0,53.0,0.0,0.0,28.5,Cherbourg,C,1,0.0
137,1.0,1.0,19.0,0.0,0.0,30.0,Southampton,B,0,0.0
138,1.0,0.0,38.0,0.0,1.0,153.4625,Southampton,C,1,1.0
139,1.0,1.0,58.0,0.0,1.0,153.4625,Southampton,C,0,1.0
140,1.0,1.0,23.0,0.0,1.0,63.3583,Cherbourg,D,1,1.0
141,1.0,1.0,45.0,0.0,1.0,63.3583,Cherbourg,D,0,1.0
142,1.0,0.0,46.0,0.0,0.0,79.2,Cherbourg,B,1,0.0
143,1.0,1.0,25.0,1.0,0.0,55.4417,Cherbourg,E,1,1.0
144,1.0,1.0,25.0,1.0,0.0,55.4417,Cherbourg,E,0,1.0
145,1.0,1.0,48.0,1.0,0.0,76.7292,Cherbourg,D,1,1.0
146,1.0,1.0,49.0,1.0,0.0,76.7292,Cherbourg,D,0,1.0
147,1.0,0.0,,0.0,0.0,42.4,Southampton,,1,0.0
148,1.0,0.0,45.0,1.0,0.0,83.475,Southampton,C,1,1.0
149,1.0,1.0,35.0,1.0,0.0,83.475,Southampton,C,0,1.0
150,1.0,0.0,40.0,0.0,0.0,0.0,Southampton,B,1,0.0
151,1.0,1.0,27.0,0.0,0.0,76.7292,Cherbourg,D,1,0.0
152,1.0,1.0,,0.0,0.0,30.0,Southampton,D,1,0.0
153,1.0,1.0,24.0,0.0,0.0,83.1583,Cherbourg,C,0,0.0
154,1.0,0.0,55.0,1.0,1.0,93.5,Southampton,B,1,2.0
155,1.0,1.0,52.0,1.0,1.0,93.5,Southampton,B,0,2.0
156,1.0,0.0,42.0,0.0,0.0,42.5,Southampton,B,1,0.0
157,1.0,0.0,,0.0,0.0,51.8625,Southampton,E,1,0.0
158,1.0,0.0,55.0,0.0,0.0,50.0,Southampton,C,1,0.0
159,1.0,1.0,16.0,0.0,1.0,57.9792,Cherbourg,B,0,1.0
160,1.0,1.0,44.0,0.0,1.0,57.9792,Cherbourg,B,0,1.0
161,1.0,1.0,51.0,1.0,0.0,77.9583,Southampton,D,0,1.0
162,1.0,0.0,42.0,1.0,0.0,52.0,Southampton,,1,1.0
163,1.0,1.0,35.0,1.0,0.0,52.0,Southampton,,0,1.0
164,1.0,1.0,35.0,0.0,0.0,26.55,Cherbourg,,1,0.0
165,1.0,1.0,38.0,1.0,0.0,90.0,Southampton,C,1,1.0
166,1.0,0.0,,0.0,0.0,30.6958,Cherbourg,,1,0.0
167,1.0,1.0,35.0,1.0,0.0,90.0,Southampton,C,0,1.0
168,1.0,1.0,38.0,0.0,0.0,80.0,Unknown,B,0,0.0
169,1.0,0.0,50.0,0.0,0.0,28.7125,Cherbourg,C,0,0.0
170,1.0,1.0,49.0,0.0,0.0,0.0,Southampton,B,1,0.0
171,1.0,0.0,46.0,0.0,0.0,26.0,Southampton,,1,0.0
172,1.0,0.0,50.0,0.0,0.0,26.0,Southampton,E,1,0.0
173,1.0,0.0,32.5,0.0,0.0,211.5,Cherbourg,C,1,0.0
174,1.0,0.0,58.0,0.0,0.0,29.7,Cherbourg,B,1,0.0
175,1.0,0.0,41.0,1.0,0.0,51.8625,Southampton,D,1,1.0
176,1.0,1.0,,1.0,0.0,51.8625,Southampton,D,0,1.0
177,1.0,1.0,42.0,1.0,0.0,52.5542,Southampton,D,1,1.0
178,1.0,1.0,45.0,1.0,0.0,52.5542,Southampton,D,0,1.0
179,1.0,0.0,,0.0,0.0,26.55,Southampton,C,1,0.0
180,1.0,1.0,39.0,0.0,0.0,211.3375,Southampton,,0,0.0
181,1.0,1.0,49.0,0.0,0.0,25.9292,Southampton,D,0,0.0
182,1.0,1.0,30.0,0.0,0.0,106.425,Cherbourg,,0,0.0
183,1.0,1.0,35.0,0.0,0.0,512.3292,Cherbourg,B,1,0.0
184,1.0,0.0,,0.0,0.0,27.7208,Cherbourg,,1,0.0
185,1.0,0.0,42.0,0.0,0.0,26.55,Southampton,,1,0.0
186,1.0,1.0,55.0,0.0,0.0,27.7208,Cherbourg,,0,0.0
187,1.0,1.0,16.0,0.0,1.0,39.4,Southampton,D,0,1.0
188,1.0,1.0,51.0,0.0,1.0,39.4,Southampton,D,0,1.0
189,1.0,0.0,29.0,0.0,0.0,30.0,Southampton,D,1,0.0
190,1.0,1.0,21.0,0.0,0.0,77.9583,Southampton,D,0,0.0
191,1.0,0.0,30.0,0.0,0.0,45.5,Southampton,,1,0.0
192,1.0,1.0,58.0,0.0,0.0,146.5208,Cherbourg,B,0,0.0
193,1.0,1.0,15.0,0.0,1.0,211.3375,Southampton,B,0,1.0
194,1.0,0.0,30.0,0.0,0.0,26.0,Southampton,C,1,0.0
195,1.0,1.0,16.0,0.0,0.0,86.5,Southampton,B,0,0.0
196,1.0,1.0,,0.0,0.0,29.7,Cherbourg,C,1,0.0
197,1.0,0.0,19.0,1.0,0.0,53.1,Southampton,D,1,1.0
198,1.0,1.0,18.0,1.0,0.0,53.1,Southampton,D,0,1.0
199,1.0,1.0,24.0,0.0,0.0,49.5042,Cherbourg,C,0,0.0
200,1.0,0.0,46.0,0.0,0.0,75.2417,Cherbourg,C,1,0.0
201,1.0,0.0,54.0,0.0,0.0,51.8625,Southampton,E,1,0.0
202,1.0,1.0,36.0,0.0,0.0,26.2875,Southampton,E,1,0.0
203,1.0,0.0,28.0,1.0,0.0,82.1708,Cherbourg,,1,1.0
204,1.0,1.0,,1.0,0.0,82.1708,Cherbourg,,0,1.0
205,1.0,0.0,65.0,0.0,0.0,26.55,Southampton,E,1,0.0
206,1.0,0.0,44.0,2.0,0.0,90.0,Queenstown,C,1,2.0
207,1.0,1.0,33.0,1.0,0.0,90.0,Queenstown,C,0,1.0
208,1.0,1.0,37.0,1.0,0.0,90.0,Queenstown,C,0,1.0
209,1.0,1.0,30.0,1.0,0.0,57.75,Cherbourg,C,1,1.0
210,1.0,0.0,55.0,0.0,0.0,30.5,Southampton,C,1,0.0
211,1.0,0.0,47.0,0.0,0.0,42.4,Southampton,,1,0.0
212,1.0,0.0,37.0,0.0,1.0,29.7,Cherbourg,C,1,1.0
213,1.0,1.0,31.0,1.0,0.0,113.275,Cherbourg,D,0,1.0
214,1.0,1.0,23.0,1.0,0.0,113.275,Cherbourg,D,0,1.0
215,1.0,0.0,58.0,0.0,2.0,113.275,Cherbourg,D,1,2.0
216,1.0,1.0,19.0,0.0,2.0,26.2833,Southampton,D,0,2.0
217,1.0,0.0,64.0,0.0,0.0,26.0,Southampton,,1,0.0
218,1.0,1.0,39.0,0.0,0.0,108.9,Cherbourg,C,0,0.0
219,1.0,1.0,,0.0,0.0,25.7417,Cherbourg,,1,0.0
220,1.0,1.0,22.0,0.0,1.0,61.9792,Cherbourg,B,0,1.0
221,1.0,0.0,65.0,0.0,1.0,61.9792,Cherbourg,B,1,1.0
222,1.0,0.0,28.5,0.0,0.0,27.7208,Cherbourg,D,1,0.0
223,1.0,0.0,,0.0,0.0,0.0,Southampton,,1,0.0
224,1.0,0.0,45.5,0.0,0.0,28.5,Southampton,C,1,0.0
225,1.0,0.0,23.0,0.0,0.0,93.5,Southampton,B,1,0.0
226,1.0,0.0,29.0,1.0,0.0,66.6,Southampton,C,1,1.0
227,1.0,1.0,22.0,1.0,0.0,66.6,Southampton,C,0,1.0
228,1.0,0.0,18.0,1.0,0.0,108.9,Cherbourg,C,1,1.0
229,1.0,1.0,17.0,1.0,0.0,108.9,Cherbourg,C,0,1.0
230,1.0,1.0,30.0,0.0,0.0,93.5,Southampton,B,0,0.0
231,1.0,1.0,52.0,0.0,0.0,30.5,Southampton,C,1,0.0
232,1.0,0.0,47.0,0.0,0.0,52.0,Southampton,C,1,0.0
233,1.0,1.0,56.0,0.0,1.0,83.1583,Cherbourg,C,0,1.0
234,1.0,0.0,38.0,0.0,0.0,0.0,Southampton,,1,0.0
235,1.0,1.0,,0.0,0.0,39.6,Southampton,,1,0.0
236,1.0,0.0,22.0,0.0,0.0,135.6333,Cherbourg,,1,0.0
237,1.0,0.0,,0.0,0.0,227.525,Cherbourg,,1,0.0
238,1.0,1.0,43.0,0.0,1.0,211.3375,Southampton,B,0,1.0
239,1.0,0.0,31.0,0.0,0.0,50.4958,Southampton,A,1,0.0
240,1.0,1.0,45.0,0.0,0.0,26.55,Southampton,,1,0.0
241,1.0,0.0,,0.0,0.0,50.0,Southampton,A,1,0.0
242,1.0,1.0,33.0,0.0,0.0,27.7208,Cherbourg,A,0,0.0
243,1.0,0.0,46.0,0.0,0.0,79.2,Cherbourg,,1,0.0
244,1.0,0.0,36.0,0.0,0.0,40.125,Cherbourg,A,1,0.0
245,1.0,1.0,33.0,0.0,0.0,86.5,Southampton,B,0,0.0
246,1.0,0.0,55.0,1.0,0.0,59.4,Cherbourg,,1,1.0
247,1.0,1.0,54.0,1.0,0.0,59.4,Cherbourg,,0,1.0
248,1.0,0.0,33.0,0.0,0.0,26.55,Southampton,,1,0.0
249,1.0,1.0,13.0,2.0,2.0,262.375,Cherbourg,B,1,4.0
250,1.0,1.0,18.0,2.0,2.0,262.375,Cherbourg,B,0,4.0
251,1.0,1.0,21.0,2.0,2.0,262.375,Cherbourg,B,0,4.0
252,1.0,0.0,61.0,1.0,3.0,262.375,Cherbourg,B,1,4.0
253,1.0,1.0,48.0,1.0,3.0,262.375,Cherbourg,B,0,4.0
254,1.0,1.0,,0.0,0.0,30.5,Southampton,C,1,0.0
255,1.0,1.0,24.0,0.0,0.0,69.3,Cherbourg,B,0,0.0
256,1.0,1.0,,0.0,0.0,26.0,Southampton,,1,0.0
257,1.0,1.0,35.0,1.0,0.0,57.75,Cherbourg,C,0,1.0
258,1.0,1.0,30.0,0.0,0.0,31.0,Cherbourg,,0,0.0
259,1.0,1.0,34.0,0.0,0.0,26.55,Southampton,,1,0.0
260,1.0,1.0,40.0,0.0,0.0,153.4625,Southampton,C,0,0.0
261,1.0,1.0,35.0,0.0,0.0,26.2875,Southampton,E,1,0.0
262,1.0,0.0,50.0,1.0,0.0,55.9,Southampton,E,1,1.0
263,1.0,1.0,39.0,1.0,0.0,55.9,Southampton,E,0,1.0
264,1.0,1.0,56.0,0.0,0.0,35.5,Cherbourg,A,1,0.0
265,1.0,1.0,28.0,0.0,0.0,35.5,Southampton,A,1,0.0
266,1.0,0.0,56.0,0.0,0.0,26.55,Southampton,,1,0.0
267,1.0,0.0,56.0,0.0,0.0,30.6958,Cherbourg,A,1,0.0
268,1.0,0.0,24.0,1.0,0.0,60.0,Southampton,C,1,1.0
269,1.0,0.0,,0.0,0.0,26.0,Southampton,A,1,0.0
270,1.0,1.0,18.0,1.0,0.0,60.0,Southampton,C,0,1.0
271,1.0,1.0,24.0,1.0,0.0,82.2667,Southampton,B,1,1.0
272,1.0,1.0,23.0,1.0,0.0,82.2667,Southampton,B,0,1.0
273,1.0,1.0,6.0,0.0,2.0,134.5,Cherbourg,E,1,2.0
274,1.0,1.0,45.0,1.0,1.0,134.5,Cherbourg,E,1,2.0
275,1.0,1.0,40.0,1.0,1.0,134.5,Cherbourg,E,0,2.0
276,1.0,0.0,57.0,1.0,0.0,146.5208,Cherbourg,B,1,1.0
277,1.0,1.0,,1.0,0.0,146.5208,Cherbourg,B,0,1.0
278,1.0,1.0,32.0,0.0,0.0,30.5,Cherbourg,B,1,0.0
279,1.0,0.0,62.0,0.0,0.0,26.55,Southampton,C,1,0.0
280,1.0,1.0,54.0,1.0,0.0,55.4417,Cherbourg,C,1,1.0
281,1.0,1.0,43.0,1.0,0.0,55.4417,Cherbourg,C,0,1.0
282,1.0,1.0,52.0,1.0,0.0,78.2667,Cherbourg,D,0,1.0
283,1.0,0.0,,0.0,0.0,27.7208,Cherbourg,,1,0.0
284,1.0,1.0,62.0,0.0,0.0,80.0,Unknown,B,0,0.0
285,1.0,0.0,67.0,1.0,0.0,221.7792,Southampton,C,1,1.0
286,1.0,0.0,63.0,1.0,0.0,221.7792,Southampton,C,0,1.0
287,1.0,0.0,61.0,0.0,0.0,32.3208,Southampton,D,1,0.0
288,1.0,1.0,48.0,0.0,0.0,25.9292,Southampton,D,0,0.0
289,1.0,1.0,18.0,0.0,2.0,79.65,Southampton,E,0,2.0
290,1.0,0.0,52.0,1.0,1.0,79.65,Southampton,E,1,2.0
291,1.0,1.0,39.0,1.0,1.0,79.65,Southampton,E,0,2.0
292,1.0,1.0,48.0,1.0,0.0,52.0,Southampton,C,1,1.0
293,1.0,1.0,,1.0,0.0,52.0,Southampton,C,0,1.0
294,1.0,0.0,49.0,1.0,1.0,110.8833,Cherbourg,C,1,2.0
295,1.0,1.0,17.0,0.0,2.0,110.8833,Cherbourg,C,1,2.0
296,1.0,1.0,39.0,1.0,1.0,110.8833,Cherbourg,C,0,2.0
297,1.0,1.0,,0.0,0.0,79.2,Cherbourg,,0,0.0
298,1.0,1.0,31.0,0.0,0.0,28.5375,Cherbourg,C,1,0.0
299,1.0,0.0,40.0,0.0,0.0,27.7208,Cherbourg,,1,0.0
300,1.0,0.0,61.0,0.0,0.0,33.5,Southampton,B,1,0.0
301,1.0,0.0,47.0,0.0,0.0,34.0208,Southampton,D,1,0.0
302,1.0,1.0,35.0,0.0,0.0,512.3292,Cherbourg,,0,0.0
303,1.0,0.0,64.0,1.0,0.0,75.25,Cherbourg,D,1,1.0
304,1.0,1.0,60.0,1.0,0.0,75.25,Cherbourg,D,0,1.0
305,1.0,0.0,60.0,0.0,0.0,26.55,Southampton,,1,0.0
306,1.0,0.0,54.0,0.0,1.0,77.2875,Southampton,D,1,1.0
307,1.0,0.0,21.0,0.0,1.0,77.2875,Southampton,D,1,1.0
308,1.0,1.0,55.0,0.0,0.0,135.6333,Cherbourg,C,0,0.0
309,1.0,1.0,31.0,0.0,2.0,164.8667,Southampton,C,0,2.0
310,1.0,0.0,57.0,1.0,1.0,164.8667,Southampton,,1,2.0
311,1.0,1.0,45.0,1.0,1.0,164.8667,Southampton,,0,2.0
312,1.0,0.0,50.0,1.0,1.0,211.5,Cherbourg,C,1,2.0
313,1.0,0.0,27.0,0.0,2.0,211.5,Cherbourg,C,1,2.0
314,1.0,1.0,50.0,1.0,1.0,211.5,Cherbourg,C,0,2.0
315,1.0,1.0,21.0,0.0,0.0,26.55,Southampton,,0,0.0
316,1.0,0.0,51.0,0.0,1.0,61.3792,Cherbourg,,1,1.0
317,1.0,1.0,21.0,0.0,1.0,61.3792,Cherbourg,,1,1.0
318,1.0,0.0,,0.0,0.0,35.0,Southampton,C,1,0.0
319,1.0,1.0,31.0,0.0,0.0,134.5,Cherbourg,E,0,0.0
320,1.0,1.0,,0.0,0.0,35.5,Southampton,C,1,0.0
321,1.0,0.0,62.0,0.0,0.0,26.55,Southampton,,1,0.0
322,1.0,1.0,36.0,0.0,0.0,135.6333,Cherbourg,C,0,0.0
323,2.0,0.0,30.0,1.0,0.0,24.0,Cherbourg,,1,1.0
324,2.0,1.0,28.0,1.0,0.0,24.0,Cherbourg,,0,1.0
325,2.0,0.0,30.0,0.0,0.0,13.0,Southampton,,1,0.0
326,2.0,0.0,18.0,0.0,0.0,11.5,Southampton,,1,0.0
327,2.0,0.0,25.0,0.0,0.0,10.5,Southampton,,1,0.0
328,2.0,0.0,34.0,1.0,0.0,26.0,Southampton,,1,1.0
329,2.0,1.0,36.0,1.0,0.0,26.0,Southampton,,0,1.0
330,2.0,0.0,57.0,0.0,0.0,13.0,Southampton,,1,0.0
331,2.0,0.0,18.0,0.0,0.0,11.5,Southampton,,1,0.0
332,2.0,0.0,23.0,0.0,0.0,10.5,Southampton,,1,0.0
333,2.0,1.0,36.0,0.0,0.0,13.0,Southampton,D,0,0.0
334,2.0,0.0,28.0,0.0,0.0,10.5,Southampton,,1,0.0
335,2.0,0.0,51.0,0.0,0.0,12.525,Southampton,,1,0.0
336,2.0,1.0,32.0,1.0,0.0,26.0,Southampton,,1,1.0
337,2.0,1.0,19.0,1.0,0.0,26.0,Southampton,,0,1.0
338,2.0,0.0,28.0,0.0,0.0,26.0,Southampton,,1,0.0
339,2.0,1.0,1.0,2.0,1.0,39.0,Southampton,F,1,3.0
340,2.0,1.0,4.0,2.0,1.0,39.0,Southampton,F,0,3.0
341,2.0,1.0,12.0,2.0,1.0,39.0,Southampton,F,0,3.0
342,2.0,1.0,36.0,0.0,3.0,39.0,Southampton,F,0,3.0
343,2.0,1.0,34.0,0.0,0.0,13.0,Southampton,D,1,0.0
344,2.0,1.0,19.0,0.0,0.0,13.0,Southampton,,0,0.0
345,2.0,0.0,23.0,0.0,0.0,13.0,Southampton,,1,0.0
346,2.0,0.0,26.0,0.0,0.0,13.0,Southampton,,1,0.0
347,2.0,0.0,42.0,0.0,0.0,13.0,Southampton,,1,0.0
348,2.0,0.0,27.0,0.0,0.0,13.0,Southampton,,1,0.0
349,2.0,1.0,24.0,0.0,0.0,13.0,Southampton,F,0,0.0
